Country or territory (Territories without full sovereignty in italics) [2] ,Total length of land borders ,Total length of land borders ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
Country or territory (Territories without full sovereignty in italics) [2] ,km[3] ,mi ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
" France (including French overseas departments, collectivities, and territories) →includes: → Clipperton Island→ French Guiana→ French Polynesia→ French Southern and Antarctic Lands[27]→ Guadeloupe→ Martinique→ Mayotte→ New Caledonia→ Réunion→ Saint Barthélemy→ Saint Martin→ Saint Pierre and Miquelon→ Wallis and Futuna ","4,082 ","2,536 ",13 ,11 ,Includes:  Andorra: 56.6 km (35.2 mi) Belgium: 620 km (390 mi) Brazil:[28] 673 km (418 mi) Germany: 451 km (280 mi) Italy: 488 km (303 mi) Luxembourg: 73 km (45 mi) Monaco: 4.4 km (2.7 mi) Sint Maarten[29][30] (Netherlands): 10.2 km (6.3 mi) Spain (3):[26] 623 km (387 mi) Suriname:[28] 510 km (320 mi)  Switzerland: 573 km (356 mi) 
 Gabon ,"2,551 ","1,585 ",3 ,3 ,"Includes:  Cameroon: 298 km (185 mi) Republic of the Congo: 1,903 km (1,182 mi) Equatorial Guinea: 350 km (220 mi) "
 The Gambia ,740 ,460 ,1 ,1 ,Includes:  Senegal: 740 km (460 mi) 
 Georgia ,"1,461 ",908 ,6 ,4 ,Includes:  Armenia: 164 km (102 mi) Azerbaijan: 322 km (200 mi) Russia: 723 km (449 mi) Turkey: 252 km (157 mi) Abkhazia: 141 km (88 mi) South Ossetia: 334 km (208 mi) 
 Germany ,"3,621 ","2,250 ",15 ,9 ,Includes:  Austria: 784 km (487 mi) Belgium (6):[12] 167 km (104 mi) Czech Republic: 815 km (506 mi)[24] Denmark: 68 km (42 mi) France: 451 km (280 mi) Luxembourg: 138 km (86 mi) Netherlands: 577 km (359 mi) Poland: 456 km (283 mi)  Switzerland (2):[31] 334 km (208 mi) 
 Ghana ,"2,094 ","1,301 ",3 ,3 ,Includes:  Burkina Faso: 549 km (341 mi) Côte d'Ivoire: 668 km (415 mi) Togo: 877 km (545 mi) 
 Greece ,"1,228 ",763 ,4 ,4 ,Includes:  Albania: 282 km (175 mi) Bulgaria: 494 km (307 mi) Turkey: 206 km (128 mi) North Macedonia: 246 km (153 mi) 
 Grenada ,0 ,0 ,0 ,0 , 
 Guatemala ,"1,687 ","1,048 ",4 ,4 ,Includes:  Belize: 266 km (165 mi) El Salvador: 203 km (126 mi) Honduras: 256 km (159 mi) Mexico: 962 km (598 mi) 
 Guinea ,"3,399 ","2,112 ",6 ,6 ,Includes:  Côte d'Ivoire: 610 km (380 mi) Guinea-Bissau: 386 km (240 mi) Liberia: 563 km (350 mi) Mali: 858 km (533 mi) Senegal: 330 km (210 mi) Sierra Leone: 652 km (405 mi) 
 Guinea-Bissau ,724 ,450 ,2 ,2 ,Includes:  Guinea: 386 km (240 mi) Senegal: 338 km (210 mi) 
 Guyana ,"2,462 ","1,530 ",3 ,3 ,"Includes:  Brazil: 1,119 km (695 mi) Suriname: 600 km (370 mi) Venezuela: 743 km (462 mi) "
 Haiti ,360 ,220 ,1 ,1 ,Includes:  Dominican Republic: 360 km (220 mi) 
 Honduras ,"1,520 ",940 ,3 ,3 ,Includes:  Guatemala: 256 km (159 mi) El Salvador: 342 km (213 mi) Nicaragua: 922 km (573 mi) 
 Hong Kong[18] ,30 ,19 ,1 ,1 ,Includes:  People's Republic of China: 30 km (19 mi) 
 Hungary ,"2,171 ","1,349 ",7 ,7 ,Includes:  Austria: 366 km (227 mi) Croatia: 329 km (204 mi) Romania: 443 km (275 mi) Serbia: 151 km (94 mi) Slovakia: 677 km (421 mi) Slovenia: 102 km (63 mi) Ukraine: 103 km (64 mi) 
 Iceland ,0 ,0 ,0 ,0 , 
 India ,"14,103 ","8,763 ",10 (9) ,6 ,"Includes:  Bangladesh (2), including Dahagram-Angarpota:[11] 4,053 km (2,518 mi) Bhutan: 605 km (376 mi) People's Republic of China (3):[20] 3,380 km (2,100 mi) Myanmar: 1,463 km (909 mi)   Nepal: 1,690 km (1,050 mi) Pakistan: 2,912 km (1,809 mi) "
 Indonesia ,"2,830 ","1,760 ",4 ,3 ,"Includes:  East Timor (2): 228 km (142 mi) Malaysia: 1,782 km (1,107 mi) Papua New Guinea: 820 km (510 mi) "
 Iran ,"5,440 ","3,380 ",8 ,7 ,"Includes:  Afghanistan: 936 km (582 mi) Armenia: 35 km (22 mi) Azerbaijan (2):[9] 432 km (268 mi) Iraq: 1,458 km (906 mi) Pakistan: 909 km (565 mi) Turkey: 499 km (310 mi) Turkmenistan: 992 km (616 mi) "
 Iraq ,"3,650 ","2,270 ",6 ,6 ,"Includes:  Iran: 1,458 km (906 mi) Jordan: 181 km (112 mi) Kuwait: 240 km (150 mi) Saudi Arabia: 814 km (506 mi) Syria: 605 km (376 mi) Turkey: 352 km (219 mi) "
 Ireland ,499 ,310 ,1 ,1 ,Includes:  United Kingdom: 499 km (310 mi) 
 Israel ,"1,017 ",632 ,4 ,4 ,Includes:  Egypt: 266 km (165 mi) Gaza Strip (state of palestine):[25] 51 km (32 mi) Jordan: 238 km (148 mi) Lebanon: 79 km (49 mi) Syria: 76 km (47 mi) West Bank (state of Palestine):[25] 307 km (191 mi) 
 Italy ,"1,932 ","1,200 ",7 ,6 ,Includes:  Austria: 430 km (270 mi) France: 488 km (303 mi) San Marino: 39 km (24 mi) Slovenia: 232 km (144 mi)  Switzerland (2):[32] 740 km (460 mi)  Vatican City: 3.2 km (2.0 mi) 
 Jamaica ,0 ,0 ,0 ,0 , 
 Japan ,0 ,0 ,0 ,0 , 
 Jordan ,"1,635 ","1,016 ",5 ,5 ,Includes:  Iraq: 181 km (112 mi) Israel: 238 km (148 mi) Saudi Arabia: 744 km (462 mi) Syria: 375 km (233 mi) West Bank (State of Palestine):[25] 97 km (60 mi) 
 Kazakhstan ,"12,012 ","7,464 ",5 ,5 ,"Includes:  People's Republic of China: 1,533 km (953 mi) Kyrgyzstan: 1,051 km (653 mi) Russia: 6,846 km (4,254 mi) Turkmenistan: 379 km (235 mi) Uzbekistan: 2,203 km (1,369 mi) "
 Kenya ,"3,477 ","2,161 ",5 ,5 ,Includes:  Ethiopia: 861 km (535 mi) Somalia: 682 km (424 mi) South Sudan: 232 km (144 mi) Tanzania: 769 km (478 mi) Uganda: 933 km (580 mi) 
 Kiribati ,0 ,0 ,0 ,0 , 
 North Korea ,"1,673 ","1,040 ",3 ,3 ,"Includes:  People's Republic of China: 1,416 km (880 mi) South Korea: 238 km (148 mi) Russia: 19 km (12 mi) "
 South Korea ,238 ,148 ,1 ,1 ,Includes:  North Korea: 238 km (148 mi) 
 Kosovo[4] ,701 ,436 ,4 ,4 ,Includes:  Albania: 112 km (70 mi) Montenegro: 79 km (49 mi) North Macedonia: 159 km (99 mi) Serbia: 352 km (219 mi) 
 Kuwait ,462 ,287 ,2 ,2 ,Includes:  Iraq: 240 km (150 mi) Saudi Arabia: 222 km (138 mi) 
 Kyrgyzstan ,"3,878 ","2,410 ",4 ,4 ,"Includes:  People's Republic of China: 858 km (533 mi) Kazakhstan: 1,051 km (653 mi) Tajikistan (3):[33] 870 km (540 mi) Uzbekistan (6):[34] 1,099 km (683 mi) "
 Laos ,"5,083 ","3,158 ",5 ,5 ,"Includes:  Cambodia: 541 km (336 mi) People's Republic of China: 423 km (263 mi) Myanmar: 235 km (146 mi) Thailand: 1,754 km (1,090 mi) Vietnam: 2,130 km (1,320 mi) "
 Latvia ,"1,150 ",710 ,4 ,4 ,Includes:  Belarus: 141 km (88 mi) Estonia: 339 km (211 mi) Lithuania: 453 km (281 mi) Russia: 217 km (135 mi) 
 Lebanon ,454 ,282 ,2 ,2 ,Includes:  Israel: 79 km (49 mi) Syria: 375 km (233 mi) 
 Lesotho ,909 ,565 ,1 ,1 ,Includes:  South Africa: 909 km (565 mi) 
 Liberia ,"1,585 ",985 ,3 ,3 ,Includes:  Guinea: 563 km (350 mi) Côte d'Ivoire: 716 km (445 mi) Sierra Leone: 306 km (190 mi) 
 Libya ,"4,348 ","2,702 ",6 ,6 ,"Includes:  Algeria: 982 km (610 mi) Chad: 1,055 km (656 mi) Egypt: 1,115 km (693 mi) Niger: 354 km (220 mi) Sudan: 383 km (238 mi) Tunisia: 459 km (285 mi) "
 Liechtenstein ,76 ,47 ,2 ,2 ,Includes:  Austria: 34 km (21 mi)  Switzerland: 41 km (25 mi) 
 Lithuania ,"1,273 ",791 ,4 ,4 ,Includes:  Belarus: 502 km (312 mi) Latvia: 453 km (281 mi) Poland: 91 km (57 mi) Russia:[35] 227 km (141 mi) 
 Luxembourg ,359 ,223 ,3 ,3 ,Includes:  Belgium: 148 km (92 mi) France: 73 km (45 mi) Germany: 138 km (86 mi) 
 Macau[19] (People's Republic of China) ,0.34 ,0.21 ,1 ,1 ,Includes:  People's Republic of China: 0.34 km (0.21 mi) 
 Madagascar ,0 ,0 ,0 ,0 , 
 Madeira[36] (Portugal) ,0 ,0 ,0 ,0 , 
 Malawi ,"2,881 ","1,790 ",3 ,3 ,"Includes:  Mozambique: 1,569 km (975 mi) Tanzania: 475 km (295 mi) Zambia: 837 km (520 mi) "
 Malaysia ,"3,147 ","1,955 ",4 ,3 ,"Includes:  Brunei (2): 381 km (237 mi) Indonesia: 1,782 km (1,107 mi) Thailand: 506 km (314 mi) "
 Maldives ,0 ,0 ,0 ,0 , 
 Mali ,"7,243 ","4,501 ",7 ,7 ,"Includes:  Algeria: 1,376 km (855 mi) Burkina Faso: 1,000 km (620 mi) Côte d'Ivoire: 532 km (331 mi) Guinea: 858 km (533 mi) Mauritania: 2,237 km (1,390 mi) Niger: 821 km (510 mi) Senegal: 419 km (260 mi) "
 Malta ,0 ,0 ,0 ,0 , 
 Marshall Islands ,0 ,0 ,0 ,0 , 
 Mauritania ,"5,074 ","3,153 ",4 ,4 ,"Includes:  Algeria: 463 km (288 mi) Mali: 2,237 km (1,390 mi) Senegal: 813 km (505 mi) Western Sahara:[5] 1,561 km (970 mi) "
 Mauritius ,0 ,0 ,0 ,0 , 
 Mexico ,"4,353 ","2,705 ",3 ,3 ,"Includes:  Belize: 250 km (160 mi) Guatemala: 962 km (598 mi) United States: 3,141 km (1,952 mi) "
 Federated States of Micronesia ,0 ,0 ,0 ,0 , 
 Moldova ,"1,389 ",863 ,2 ,2 ,Includes:  Romania: 450 km (280 mi) Ukraine: 939 km (583 mi) 
 Monaco ,4.4 ,2.7 ,1 ,1 ,Includes:  France: 4.4 km (2.7 mi) 
 Mongolia ,"8,220 ","5,110 ",2 ,2 ,"Includes:  People's Republic of China: 4,677 km (2,906 mi) Russia: 3,485 km (2,165 mi) "
 Montenegro ,625 ,388 ,5 ,5 ,Includes:  Albania: 172 km (107 mi)  Bosnia and Herzegovina: 225 km (140 mi)  Croatia: 25 km (16 mi)  Kosovo:[4] 79 km (49 mi)  Serbia: 124 km (77 mi) 
 Morocco ,"2,018 ","1,254 ",5 ,3 ,"Includes:  Algeria: 1,559 km (969 mi) Western Sahara:[5] 443 km (275 mi) Spain (3): 17 km (11 mi)[37] "
